name,native notation,kbsm,affine,arrow,mock,yamada,flip,mirror,unique,mutant,kiral,rotatable,page,em,pd
7_288,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e0 b2) d=X(e3 f0 c1 b3) e=X(c2 g3 f1 d0) f=X(d1 e2 h0 g0) g=X(f3 h2 h1 e1) h=X(f2 g2 g1 i0) i=V(h3) ['name'='7_288'],A**18 + 2*A**16 + A**14 - 4*A**12 - 4*A**10 + 2*A**8 + 6*A**6 + 2*A**4 - 3*A**2 - 2,2*t - 4 + 2/t,A**(-12) + 2*L1/A**14 + A**(-16) - 4*L1/A**18 - 4/A**20 + 2*L1/A**22 + 6/A**24 + 2*L1/A**26 - 3/A**28 - 2*L1/A**30,w**6 + 2*w**5 + w**4 - 4*w**3 - 4*w**2 + 2*w + 5 + 2/w - 3/w**2 - 2/w**3 + w**(-4),A**29 + A**28 - 2*A**27 - A**26 + 7*A**25 - 7*A**23 + 7*A**22 + 7*A**21 - 10*A**20 + 11*A**18 - 5*A**17 - 3*A**16 + 8*A**15 - 5*A**13 - 3*A**12 + 8*A**11 - 7*A**10 - 9*A**9 + 12*A**8 - 2*A**7 - 8*A**6 + 5*A**5 + 3*A**4 - 3*A**3 - A**2 + A + 1,7_288,*,True,False,True,True,407,"b0,a0c0c3d3,b1d2e0b2,e3f0c1b3,c2g3f1d0,d1e2h0g0,f3h2h1e1,f2g2g1i0,h3","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[5,8,9,6],X[7,9,10,11],X[11,12,13,8],X[10,13,12,14],V[14]"
7_1,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 e3 b2) d=X(b3 f0 f3 g0) e=X(c1 h0 h3 c2) f=X(d1 i0 i3 d2) g=V(d3) h=X(e1 i2 i1 e2) i=X(f1 h2 h1 f2) ['name'='7_1'],A**30 + A**22 - A**18 + A**14 - A**10 + A**6 - A**2,0,A**(-12) + A**(-20) - 1/A**24 + A**(-28) - 1/A**32 + A**(-36) - 1/A**40,w**6 - w**4 + w**2 - 1 + w**(-2) - 1/w**4 + w**(-6),A**25 + A**24 + 2*A**23 + 2*A**22 + 2*A**21 + A**20 + A**19 - A**10 - A**9 - 2*A**8 - A**7 - A**6 + A**2 + 1,7_1,*,True,False,True,True,120,"b0,a0c0c3d0,b1e0e3b2,b3f0f3g0,c1h0h3c2,d1i0i3d2,d3,e1i2i1e2,f1h2h1f2","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,8],X[4,9,10,5],X[6,11,12,7],V[8],X[9,13,14,10],X[11,14,13,12]"
7_221,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 e3 b2) d=X(f0 g0 e1 b3) e=X(c1 d2 f1 c2) f=X(d0 e2 h3 h2) g=X(d1 h1 i0 h0) h=X(g3 g1 f3 f2) i=V(g2) ['name'='7_221'],A**22 + 2*A**20 - A**18 - 4*A**16 - A**14 + 4*A**12 + 3*A**10 - 2*A**8 - 2*A**6 + A**2,2*t - 4 + 2/t,A**4 + 2*A**2*L1 - 1 - 4*L1/A**2 - 1/A**4 + 4*L1/A**6 + 3/A**8 - 2*L1/A**10 - 2/A**12 + A**(-16),-w**4 - 2*w**3 + w**2 + 6*w + 4 - 4/w - 3/w**2,-A**25 - A**24 + 3*A**23 - 5*A**21 + 4*A**20 + 4*A**19 - 8*A**18 + 2*A**17 + 5*A**16 - 7*A**15 - A**14 + 3*A**13 - 2*A**12 - 2*A**11 - A**10 + 5*A**9 - 4*A**8 - 5*A**7 + 9*A**6 - 3*A**5 - 5*A**4 + 6*A**3 - A**2 - 2*A + 1,7_221,*,True,False,True,True,340,"b0,a0c0c3d3,b1e0e3b2,f0g0e1b3,c1d2f1c2,d0e2h3h2,d1h1i0h0,g3g1f3f2,g2","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,8,3],X[4,8,9,5],X[6,9,10,11],X[7,12,13,14],X[14,12,11,10],V[13]"
5_25,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 e3 d0) d=X(c3 e2 f3 b2) e=X(f2 f0 d1 c2) f=X(e1 g0 e0 d2) g=V(f1) ['name'='5_25'],A**16 + 2*A**14 - 4*A**10 - 2*A**8 + 2*A**6 + 3*A**4 - 1,0,A**4 + 2*A**2*L1 - 4*L1/A**2 - 2/A**4 + 2*L1/A**6 + 3/A**8 - 1/A**12,2*w + 2 - 4/w - 2/w**2 + 2/w**3 + w**(-4),A**23 - A**22 - 2*A**21 + 3*A**20 + A**19 - 4*A**18 + 4*A**17 + 3*A**16 - 4*A**15 + 2*A**14 + 2*A**13 - 2*A**12 + 3*A**9 - 2*A**8 + 6*A**6 - 4*A**5 - 2*A**4 + 4*A**3 - 2*A**2 - A + 1,5_25,*,True,False,True,True,37,"b0,a0c0d3c1,b1b3e3d0,c3e2f3b2,f2f0d1c2,e1g0e0d2,f1","V[0],X[0,1,2,3],X[1,3,4,5],X[5,6,7,2],X[8,9,6,4],X[9,10,8,7],V[10]"
6_34,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 f3 b2) d=X(g0 e2 e1 b3) e=X(c1 d2 d1 f0) f=X(e3 g2 g1 c2) g=X(d0 f2 f1 h0) h=V(g3) ['name'='6_34'],-2*A**19 - 2*A**17 + 2*A**15 + 3*A**13 - 3*A**9 + 2*A**5 - A,2*t - 4 + 2/t,2*L1/A**2 + 2/A**4 - 2*L1/A**6 - 3/A**8 + 3/A**12 - 2/A**16 + A**(-20),2*w**3 + 3*w**2 - 2*w - 4 + 3/w**2 - 1/w**4,-A**24 - A**23 + A**22 + A**21 - 2*A**20 + 3*A**18 - A**17 - 4*A**16 + 2*A**15 - A**14 - 5*A**13 + A**12 + A**11 - 2*A**10 + A**9 + 2*A**8 + 2*A**7 - 3*A**6 + 3*A**4 - 5*A**3 + 3*A - 1,6_34,*,True,False,True,True,71,"b0,a0c0c3d3,b1e0f3b2,g0e2e1b3,c1d2d1f0,e3g2g1c2,d0f2f1h0,g3","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,8,3],X[4,8,7,9],X[9,10,11,5],X[6,11,10,12],V[12]"
4_1,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 d1 b2) d=X(b3 c2 e3 e2) e=X(c1 f0 d3 d2) f=V(e1) ['name'='4_1'],-A**17 + A**13 - A**9 + A**5 - A,0,A**8 - A**4 + 1 - 1/A**4 + A**(-8),-w**2 + 3 - 1/w**2,-A**16 + A**12 - A**10 - A**9 - 2*A**8 - A**7 - A**6 + A**4 - 1,4_1,4_1,True,False,False,True,5,"b0,a0c0c3d0,b1e0d1b2,b3c2e3e2,c1f0d3d2,e1","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[4,8,7,6],V[8]"
5_15,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(f0 e0 c1 b3) e=X(d1 f2 f1 c2) f=X(d0 e2 e1 g0) g=V(f3) ['name'='5_15'],2*A**15 + A**13 - 2*A**11 - 3*A**9 + 2*A**5 - A,-2*t + 4 - 2/t,-2*A**18*L1 - A**16 + 2*A**14*L1 + 3*A**12 - 2*A**8 + A**4,w**2 - 2*w - 3 + 2/w + 3/w**2,-A**21 - A**20 + A**19 + A**18 - A**17 + 2*A**16 + 3*A**15 - A**14 - A**13 + 2*A**12 - 2*A**11 - 2*A**10 + A**9 - A**8 - 2*A**6 + 2*A**5 - A**4 - 3*A**3 + 2*A**2 - A - 3,5_15,*,True,False,True,True,27,"b0,a0c0c3d3,b1d2e3b2,f0e0c1b3,d1f2f1c2,d0e2e1g0,f3","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[7,8,9,5],X[6,9,8,10],V[10]"
5_14,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e3 b2) d=X(b3 f0 e0 c1) e=X(d2 f2 f1 c2) f=X(d1 e2 e1 g0) g=V(f3) ['name'='5_14'],-A**13 + A**9 + 2*A**7 - 2*A**3 - A,-2*t + 4 - 2/t,A**16 - A**12 - 2*A**10*L1 + 2*A**6*L1 + A**4,-w**2 - 2*w + 1 + 2/w + w**(-2),A**17 - A**16 - 2*A**15 + A**14 - A**13 + 2*A**11 + A**10 + 2*A**9 + A**7 - A**5 + A**4 + A**3 - A**2 + A + 1,5_14,*,True,False,True,True,26,"b0,a0c0c3d0,b1d3e3b2,b3f0e0c1,d2f2f1c2,d1e2e1g0,f3","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,4],X[7,8,9,5],X[6,9,8,10],V[10]"
7_101,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 f3 b2) d=X(g0 h0 h3 b3) e=X(c1 h2 h1 f0) f=X(e3 g2 g1 c2) g=X(d0 f2 f1 i0) h=X(d1 e2 e1 d2) i=V(g3) ['name'='7_101'],2*A**23 + 2*A**21 - 2*A**19 - 4*A**17 + 3*A**13 - 3*A**9 + 2*A**5 - A,-2*t + 4 - 2/t,-2*A**26*L1 - 2*A**24 + 2*A**22*L1 + 4*A**20 - 3*A**16 + 3*A**12 - 2*A**8 + A**4,3*w**2 - 2*w - 7 + 2/w + 5/w**2,-A**27 - A**26 + A**25 + A**24 - 2*A**23 + 4*A**21 + A**20 - 4*A**19 + 3*A**18 + 3*A**17 - 4*A**16 + A**15 + 4*A**14 - 3*A**13 - 2*A**12 + 3*A**11 - 2*A**10 - 2*A**9 - 2*A**8 + 4*A**7 - 3*A**6 - 5*A**5 + 5*A**4 - 2*A**3 - 3*A**2 + A - 1,7_101,*,True,False,True,True,220,"b0,a0c0c3d3,b1e0f3b2,g0h0h3b3,c1h2h1f0,e3g2g1c2,d0f2f1i0,d1e2e1d2,g3","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,8,3],X[4,9,10,11],X[11,12,13,5],X[6,13,12,14],X[7,10,9,8],V[14]"
6_31,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e3 f3 b2) d=X(b3 g0 e1 e0) e=X(d3 d2 f0 c1) f=X(e2 g2 g1 c2) g=X(d1 f2 f1 h0) h=V(g3) ['name'='6_31'],A**16 - A**12 + 2*A**8 + 2*A**6 - A**4 - 2*A**2,2*t - 4 + 2/t,A**(-8) - 1/A**12 + 2/A**16 + 2*L1/A**18 - 1/A**20 - 2*L1/A**22,2*w**4 + 2*w**3 - w**2 - 2*w - 1/w**2 + w**(-4),-2*A**22 - 2*A**21 - A**20 - A**19 - 3*A**18 - A**17 + 2*A**16 + 2*A**13 - A**12 - A**10 + A**9 - A**8 - A**7 + 3*A**6 + A**3 + A**2 - A - 1,6_31,*,True,False,True,True,68,"b0,a0c0c3d0,b1e3f3b2,b3g0e1e0,d3d2f0c1,e2g2g1c2,d1f2f1h0,g3","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,8],X[8,7,9,4],X[9,10,11,5],X[6,11,10,12],V[12]"
