name,knotpy notation,kbsm,affine,arrow,mock,yamada
7_69,a=V(b3) b=X(c0 d0 c1 a0) c=X(b0 b2 e3 f3) d=X(b1 g0 g3 e0) e=X(d3 g2 f0 c2) f=X(e2 h0 h3 c3) g=X(d1 h2 e1 d2) h=X(f1 i0 g1 f2) i=V(h1) ['name'='7_69'],-A**24 + 2*A**20 - 4*A**16 - A**14 + 5*A**12 + 4*A**10 - 2*A**8 - 3*A**6 + A**2,-t**2 - t + 4 - 1/t - 1/t**2,-A**18*L1 + 2*A**14*L1 - A**12*L2 + A**12 - 4*A**10*L1 + A**8*L2 - 2*A**8 + 5*A**6*L1 + 4*A**4 - 2*A**2*L1 - 3 + A**(-4),w**3 + w**2 - 5*w - 3 + 6/w + 4/w**2 - 2/w**3 - 1/w**4,A**25 + A**24 - 4*A**23 + 2*A**22 + 6*A**21 - 8*A**20 - A**19 + 10*A**18 - 7*A**17 - 3*A**16 + 6*A**15 - 3*A**14 - 2*A**13 - 2*A**12 + 5*A**11 - 3*A**10 - 7*A**9 + 8*A**8 - A**7 - 9*A**6 + 6*A**5 + 3*A**4 - 6*A**3 + A**2 + 2*A - 1
7_70,a=V(b0) b=X(a0 c3 d3 d2) c=X(d1 e0 f3 b1) d=X(f2 c0 b3 b2) e=X(c1 g0 g3 f0) f=X(e3 h3 d0 c2) g=X(e1 h2 h1 e2) h=X(i0 g2 g1 f1) i=V(h0) ['name'='7_70'],2*A**22 + 2*A**20 - 2*A**18 - 4*A**16 + 4*A**12 + A**10 - 3*A**8 - A**6 + A**4 + A**2,t**2 + t - 4 + 1/t + t**(-2),A**4*L2 + A**4 + 2*A**2*L1 - L2 - 1 - 4*L1/A**2 + 4*L1/A**6 + A**(-8) - 3*L1/A**10 - 1/A**12 + L1/A**14 + A**(-16),-w**4 - w**3 + 2*w**2 + 5*w + 1 - 6/w - 1/w**2 + 2/w**3,-A**28 - A**27 + A**26 + 2*A**25 - 3*A**24 - A**23 + 5*A**22 - 2*A**21 - 6*A**20 + 5*A**19 + 2*A**18 - 8*A**17 + 3*A**16 + 4*A**15 - 4*A**14 + 2*A**12 + 2*A**11 - 7*A**10 + 6*A**8 - 8*A**7 - A**6 + 6*A**5 - 2*A**4 - 2*A**3 + 2*A**2 + A - 1
7_71,a=V(b3) b=X(c3 d0 d3 a0) c=X(d2 e0 e3 b0) d=X(b1 f3 c0 b2) e=X(c1 g3 f0 c2) f=X(e2 h0 g0 d1) g=X(f2 h2 h1 e1) h=X(f1 g2 g1 i0) i=V(h3) ['name'='7_71'],A**22 + A**20 - 2*A**18 - 4*A**16 + 2*A**14 + 6*A**12 + 2*A**10 - 4*A**8 - 3*A**6 + A**4 + A**2,0,A**4 + A**2*L1 - 2 - 4*L1/A**2 - L2/A**4 + 3/A**4 + 6*L1/A**6 + 3*L2/A**8 - 1/A**8 - 4*L1/A**10 - 3*L2/A**12 + L1/A**14 + L2/A**16,w**5 - 4*w**3 + 6*w + 1 - 4/w + w**(-3),-A**26 + A**25 + 2*A**24 - 5*A**23 + 2*A**22 + 9*A**21 - 10*A**20 - A**19 + 13*A**18 - 8*A**17 - 3*A**16 + 8*A**15 - 2*A**14 - 2*A**13 - A**12 + 8*A**11 - A**10 - 8*A**9 + 11*A**8 - 12*A**6 + 7*A**5 + 3*A**4 - 8*A**3 + 2*A**2 + 3*A - 1
7_72,a=V(b3) b=X(c3 d0 c0 a0) c=X(b2 e0 d1 b0) d=X(b1 c2 f3 g0) e=X(c1 g2 h3 h2) f=X(h1 h0 g1 d2) g=X(d3 f2 e1 i0) h=X(f1 f0 e3 e2) i=V(g3) ['name'='7_72'],A**27 - 3*A**23 - A**21 + 4*A**19 + 2*A**17 - 4*A**15 - 3*A**13 + 3*A**11 + 2*A**9 - 2*A**7 - 2*A**5 + A**3 + A,t - 2 + 1/t,-A**6*L1 + 3*A**2*L1 + 1 - 4*L1/A**2 - 2/A**4 + 4*L1/A**6 + 3/A**8 - 3*L1/A**10 - 2/A**12 + 2*L1/A**14 + 2/A**16 - L1/A**18 - 1/A**20,-2*w**3 + 7*w + 4 - 7/w - 5/w**2 + 2/w**3 + 2/w**4,-A**27 + 2*A**26 - 5*A**24 + 6*A**23 - 7*A**21 + 9*A**20 + A**19 - 5*A**18 + 5*A**17 + A**16 - 2*A**14 + 3*A**13 + 4*A**12 - 6*A**11 + A**10 + 6*A**9 - 7*A**8 - A**7 + 6*A**6 - 4*A**5 - 2*A**4 + 3*A**3 - A**2 - A + 1
7_73,a=V(b0) b=X(a0 c0 d0 e0) c=X(b1 f0 f3 d1) d=X(b2 c3 g3 g2) e=X(b3 h3 i0 f1) f=X(c1 e3 h2 c2) g=X(h1 h0 d3 d2) h=X(g1 g0 f2 e1) i=V(e2) ['name'='7_73'],-A**19 + 2*A**15 + A**13 - 2*A**11 - 2*A**9 + 2*A**7 + 2*A**5 - A**3 - 2*A,0,A**22*L1 - 2*A**18*L1 - A**16 + 2*A**14*L1 + 2*A**12 - 2*A**10*L1 - 2*A**8 + A**6*L1 + 2*A**4,w**3 + w**2 - 3*w - 2 + 3/w + 3/w**2 - 1/w**3 - 1/w**4,-A**22 + A**21 + 2*A**20 - 2*A**19 - A**18 + 3*A**17 - A**16 - 3*A**15 + 3*A**14 - A**13 - 2*A**12 + A**11 + A**9 - 2*A**8 + 3*A**7 + 2*A**6 - 3*A**5 + 3*A**4 + 3*A**3 - 2*A**2 + A + 1
7_74,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 d2 e0) d=X(f3 f2 c2 b2) e=X(c3 f1 g0 h0) f=X(h3 e1 d1 d0) g=X(e2 h2 i0 h1) h=X(e3 g3 g1 f0) i=V(g2) ['name'='7_74'],-A**16 + A**14 + 3*A**12 + 2*A**10 - 2*A**8 - 3*A**6 - A**4 + A**2 + 1,t**2 - 2 + t**(-2),-L1/A**2 + A**(-4) + 3*L1/A**6 + L2/A**8 + A**(-8) - 2*L1/A**10 - L2/A**12 - 2/A**12 - L1/A**14 + A**(-16) + L1/A**18,-w**3 - w**2 + 2*w + 3 - 1/w - 1/w**2,-A**23 + A**21 - 3*A**20 + A**19 + 3*A**18 - 4*A**17 + 2*A**15 - 3*A**14 - A**12 + A**11 - 2*A**10 - 2*A**9 + 3*A**8 - 2*A**7 - 2*A**6 + 3*A**5 - 2*A**3 + 2*A**2 + A - 1
7_75,a=V(b0) b=X(a0 c3 d3 e0) c=X(f3 g0 g3 b1) d=X(g2 h0 e1 b2) e=X(b3 d2 f1 f0) f=X(e3 e2 h3 c0) g=X(c1 h2 d0 c2) h=X(d1 i0 g1 f2) i=V(h1) ['name'='7_75'],-A**25 + 2*A**21 + A**19 - 4*A**17 - 3*A**15 + 3*A**13 + 5*A**11 - A**9 - 4*A**7 - A**5 + A**3 + A,-t + 2 - 1/t,A**4 - 2 - L1/A**2 + 4/A**4 + 3*L1/A**6 - 3/A**8 - 5*L1/A**10 + A**(-12) + 4*L1/A**14 + A**(-16) - L1/A**18 - 1/A**20,-2*w**4 - 3*w**3 + 4*w**2 + 6*w - 2 - 4/w + w**(-2) + w**(-3),A**27 - A**26 - 3*A**25 + 5*A**24 + 2*A**23 - 11*A**22 + 5*A**21 + 7*A**20 - 13*A**19 + 7*A**17 - 6*A**16 - 3*A**15 + 2*A**14 + 5*A**13 - 6*A**12 - 2*A**11 + 12*A**10 - 7*A**9 - 7*A**8 + 11*A**7 - A**6 - 7*A**5 + 4*A**4 + 3*A**3 - 3*A**2 - A + 1
7_76,a=V(b0) b=X(a0 c0 d3 e3) c=X(b1 e2 d1 d0) d=X(c3 c2 f3 b2) e=X(g0 h0 c1 b3) f=X(h3 h2 g1 d2) g=X(e0 f2 h1 i0) h=X(e1 g2 f1 f0) i=V(g3) ['name'='7_76'],-2*A**24 - A**22 + 4*A**20 + 3*A**18 - 4*A**16 - 5*A**14 + 2*A**12 + 5*A**10 - 2*A**6 + A**2,-2*t + 4 - 2/t,-2*A**30*L1 - A**28 + 4*A**26*L1 + 3*A**24 - 4*A**22*L1 - 5*A**20 + 2*A**18*L1 + 5*A**16 - 2*A**12 + A**8,w**4 - 2*w**3 - 3*w**2 + 4*w + 5 - 4/w - 5/w**2 + 2/w**3 + 3/w**4,-A**27 + A**26 + 2*A**25 - 4*A**24 - 2*A**23 + 7*A**22 - 3*A**21 - 8*A**20 + 11*A**19 + 4*A**18 - 12*A**17 + 7*A**16 + 5*A**15 - 7*A**14 + 4*A**12 + 3*A**11 - 9*A**10 + 3*A**9 + 9*A**8 - 12*A**7 - 2*A**6 + 10*A**5 - 7*A**4 - 5*A**3 + 4*A**2 - A - 3
7_77,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e0 b2) d=X(e3 f3 c1 b3) e=X(c2 f2 g0 d0) f=X(h3 g1 e1 d1) g=X(e2 f1 h1 h0) h=X(g3 g2 i0 f0) i=V(h2) ['name'='7_77'],-A**15 - A**13 + 2*A**9 + 3*A**7 - 2*A**3 - 2*A,-t**2 + 2 - 1/t**2,A**18*L1 + A**16 - 2*A**12 - 3*A**10*L1 - A**8*L2 + A**8 + 2*A**6*L1 + A**4*L2 + A**4,w**3 - 2*w + 1 + 1/w,A**27 - A**25 + A**24 + A**23 - 2*A**22 - A**21 + A**20 - A**19 - 2*A**18 + 2*A**16 - A**15 + A**14 + 2*A**13 - A**12 + A**9 - 3*A**8 - A**7 + A**6 - 2*A**5 - A**4 - 1
5_2,a=V(b3) b=X(c0 d0 c1 a0) c=X(b0 b2 d3 e0) d=X(b1 f0 e1 c2) e=X(c3 d2 f3 f2) f=X(d1 g0 e3 e2) g=V(f1) ['name'='5_2'],-A**18 - A**16 + 2*A**14 + 2*A**12 - A**10 - 2*A**8 + A**6 + 2*A**4 - 1,0,-A**12 - A**10*L1 + 2*A**8 + 2*A**6*L1 - A**4 - 2*A**2*L1 + 1 + 2*L1/A**2 - L1/A**6,w**4 + w**3 - 2*w**2 - 3*w + 2 + 3/w - 1/w**3,-A**21 + A**20 + A**19 - 2*A**18 + 2*A**17 + 2*A**16 - 3*A**15 + A**14 + A**13 - 2*A**12 - 2*A**10 - 3*A**8 - 2*A**7 + 2*A**6 - 2*A**5 - A**4 + 3*A**3 - A**2 - A + 1
7_78,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e3 b2) d=X(b3 f0 f3 c1) e=X(g0 h0 f1 c2) f=X(d1 e2 g1 d2) g=X(e0 f2 h3 h2) h=X(e1 i0 g3 g2) i=V(h1) ['name'='7_78'],-A**26 + 2*A**22 + 3*A**20 - 2*A**18 - 6*A**16 - A**14 + 6*A**12 + 4*A**10 - 2*A**8 - 3*A**6 + A**2,-2*t + 4 - 2/t,-A**14*L1 + 2*A**10*L1 + A**8*L2 + 2*A**8 - 2*A**6*L1 - 3*A**4*L2 - 3*A**4 - A**2*L1 + 3*L2 + 3 + 4*L1/A**2 - L2/A**4 - 1/A**4 - 3*L1/A**6 + L1/A**10,-w**3 - 3*w**2 + 7 + 2/w - 5/w**2 - 2/w**3 + 2/w**4 + w**(-5),-A**27 + 5*A**25 - A**24 - 9*A**23 + 9*A**22 + 7*A**21 - 18*A**20 + 4*A**19 + 13*A**18 - 15*A**17 - 2*A**16 + 10*A**15 - 4*A**14 - 5*A**13 + A**12 + 10*A**11 - 9*A**10 - 8*A**9 + 18*A**8 - 7*A**7 - 14*A**6 + 13*A**5 + A**4 - 8*A**3 + 3*A**2 + 2*A - 1
6_11,a=V(b3) b=X(c3 d3 c0 a0) c=X(b2 d2 e0 b0) d=X(e3 f0 c1 b1) e=X(c2 g0 g3 d0) f=X(d1 g2 g1 h0) g=X(e1 f2 f1 e2) h=V(f3) ['name'='6_11'],-A**18 - A**16 + A**14 + 2*A**12 - 2*A**8 + A**4 + A**2,-2*t**2 - t + 6 - 1/t - 2/t**2,-A**24*L2 - A**22*L1 + A**20*L2 + 2*A**18*L1 - A**16*L2 + A**16 - 2*A**14*L1 + A**12*L2 - A**12 + A**10*L1 + A**8,2*w**2 + w - 2 - 3/w - 1/w**2 + 2/w**3 + 2/w**4,A**24 + A**21 - A**20 - 2*A**19 + 2*A**18 - A**17 - A**16 + 2*A**15 - A**14 + A**13 - A**12 + A**11 - 2*A**9 + A**8 - 2*A**6 - 2*A**3 - A**2 - 1
7_79,a=V(b3) b=X(c0 d0 d3 a0) c=X(b0 d2 e3 f0) d=X(b1 e0 c1 b2) e=X(d1 g3 f1 c2) f=X(c3 e2 h0 g0) g=X(f3 h2 h1 e1) h=X(f2 g2 g1 i0) i=V(h3) ['name'='7_79'],A**24 + 2*A**22 - 4*A**18 - 4*A**16 + 2*A**14 + 6*A**12 + A**10 - 3*A**8 - 2*A**6 + A**4 + A**2,-t**2 + 2 - 1/t**2,A**12 + 2*A**10*L1 + A**8*L2 - A**8 - 4*A**6*L1 - 4*A**4*L2 + 2*A**2*L1 + 5*L2 + 1 + L1/A**2 - 3*L2/A**4 - 2*L1/A**6 + L2/A**8 + L1/A**10,w**5 - 3*w**3 - 2*w**2 + 3*w + 6 - 4/w**2 - 2/w**3 + w**(-4) + w**(-5),-A**28 + 3*A**26 - 6*A**24 + 3*A**23 + 7*A**22 - 8*A**21 - 4*A**20 + 12*A**19 - 2*A**18 - 11*A**17 + 8*A**16 + A**15 - 10*A**14 + A**13 + 4*A**12 - A**11 - 8*A**10 + 9*A**9 + 6*A**8 - 14*A**7 + 4*A**6 + 8*A**5 - 7*A**4 - 2*A**3 + 4*A**2 - 2
7_80,a=V(b0) b=X(a0 c0 d0 e3) c=X(b1 e2 f3 g3) d=X(b2 g2 h3 h2) e=X(f1 f0 c1 b3) f=X(e1 e0 h1 c2) g=X(i0 h0 d1 c3) h=X(g1 f2 d3 d2) i=V(g0) ['name'='7_80'],A**17 + A**15 - A**13 - 3*A**11 - A**9 + 2*A**7 + 2*A**5 - A**3 - A,-t + 2 - 1/t,-A**14*L1 - A**12 + A**10*L1 + 3*A**8 + A**6*L1 - 2*A**4 - 2*A**2*L1 + 1 + L1/A**2,-w**3 - 2*w**2 + 4 + 2/w - 1/w**2 - 1/w**3,-A**23 + A**22 + A**21 - 2*A**20 + A**19 + 2*A**18 - A**17 - A**16 + 2*A**15 - 3*A**13 + A**12 - 2*A**10 - 4*A**6 + A**5 + A**4 - 3*A**3 + A**2 + A - 1
6_12,a=V(b3) b=X(c0 d0 d3 a0) c=X(b0 d2 e0 f0) d=X(b1 g3 c1 b2) e=X(c2 g2 f1 h0) f=X(c3 e2 g1 g0) g=X(f3 f2 e1 d1) h=V(e3) ['name'='6_12'],-A**20 - A**18 + 2*A**14 + 2*A**12 - A**10 - 2*A**8 + A**4 + A**2,-2*t + 4 - 2/t,-A**26*L1 - A**24 + 2*A**20 + 2*A**18*L1 - A**16 - 2*A**14*L1 + A**10*L1 + A**8,-w**3 + w**2 + w - 2 - 1/w + w**(-2) + w**(-3) + w**(-4),-A**25 + A**23 - A**22 - A**21 + 2*A**20 + A**19 - A**18 + A**17 + 3*A**16 - A**15 + A**13 - 2*A**12 - A**11 - A**10 + 2*A**9 - 2*A**8 - A**7 + 2*A**6 - 2*A**5 - 2*A**4 - A**2 - A - 1
7_81,a=V(b3) b=X(c0 d0 d3 a0) c=X(b0 d2 e3 f0) d=X(b1 f3 c1 b2) e=X(g3 g2 h3 c2) f=X(c3 h2 g0 d1) g=X(f2 h0 e1 e0) h=X(g1 i0 f1 e2) i=V(h1) ['name'='7_81'],-A**20 - A**18 + 2*A**16 + 4*A**14 - 5*A**10 - 2*A**8 + 3*A**6 + 3*A**4 - A**2 - 1,t**2 + t - 4 + 1/t + t**(-2),-A**8 - A**6*L1 + 2*A**4 + 4*A**2*L1 + L2 - 1 - 5*L1/A**2 - 2*L2/A**4 + 3*L1/A**6 + 2*L2/A**8 + A**(-8) - L1/A**10 - L2/A**12,w**6 + w**5 - 2*w**4 - 3*w**3 + w**2 + 5*w + 3 - 4/w - 3/w**2 + w**(-3) + w**(-4),A**28 - A**27 - 2*A**26 + 4*A**25 + A**24 - 7*A**23 + A**22 + 7*A**21 - 7*A**20 - 4*A**19 + 9*A**18 - 3*A**17 - 5*A**16 + 4*A**15 + A**14 - 3*A**13 - 4*A**12 + 7*A**11 - 2*A**10 - 9*A**9 + 8*A**8 + 2*A**7 - 8*A**6 + 2*A**5 + 3*A**4 - 2*A**3 - A**2 + A + 1
7_82,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e0 b2) d=X(f3 e1 c1 b3) e=X(c2 d1 g3 g2) f=X(g1 h0 h3 d0) g=X(h2 f0 e3 e2) h=X(f1 i0 g0 f2) i=V(h1) ['name'='7_82'],A**18 + 2*A**16 + A**14 - 3*A**12 - 3*A**10 + A**8 + 4*A**6 + A**4 - 2*A**2 - 1,2*t - 4 + 2/t,A**(-12) + 2*L1/A**14 + A**(-16) - 3*L1/A**18 - 3/A**20 + L1/A**22 + 4/A**24 + L1/A**26 - 2/A**28 - L1/A**30,w**6 + 2*w**5 + w**4 - 3*w**3 - 3*w**2 + w + 3 + 1/w - 2/w**2 - 1/w**3 + w**(-4),-A**26 - A**25 + A**24 + A**23 - 4*A**22 - A**21 + 3*A**20 - 4*A**19 - 5*A**18 + 4*A**17 - A**16 - 6*A**15 + 3*A**14 + 2*A**13 - 3*A**12 + 2*A**11 + 3*A**10 + 3*A**9 - 4*A**8 + 3*A**7 + 5*A**6 - 7*A**5 + A**4 + 3*A**3 - 3*A**2 - A + 1
6_13,a=V(b0) b=X(a0 c3 d0 c0) c=X(b3 d3 e0 b1) d=X(b2 f0 f3 c1) e=X(c2 f2 g3 g2) f=X(d1 g1 e1 d2) g=X(h0 f1 e3 e2) h=V(g0) ['name'='6_13'],-A**17 + 2*A**13 + A**11 - 3*A**9 - 3*A**7 + 2*A**3 + A,t**2 + t - 4 + 1/t + t**(-2),A**(-4) - 2/A**8 - L1/A**10 + 3/A**12 + 3*L1/A**14 + L2/A**16 - 1/A**16 - 2*L1/A**18 - L2/A**20,-w**3 + 2*w**2 + 3*w - 2 - 2/w + w**(-2),A**23 - A**22 + 2*A**21 + 3*A**20 - 4*A**19 + 2*A**18 + 3*A**17 - 2*A**16 + 2*A**15 + A**14 + 2*A**13 - 2*A**12 + 2*A**10 - 2*A**9 - A**8 + 3*A**7 - A**6 - 3*A**5 + 2*A**4 - 2*A**2 + 1
6_14,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e0 b2) d=X(b3 e3 f0 c1) e=X(c2 g3 f1 d1) f=X(d2 e2 g1 g0) g=X(f3 f2 h0 e1) h=V(g2) ['name'='6_14'],-A**17 + A**13 + A**11 - 2*A**9 - 2*A**7 + A**3 + A,t**2 - 2 + t**(-2),A**(-4) - 1/A**8 - L1/A**10 + 2/A**12 + 2*L1/A**14 + L2/A**16 - 1/A**16 - L1/A**18 - L2/A**20,-w**3 + w**2 + 2*w - 1 - 1/w + w**(-2),A**23 + A**21 + 2*A**20 - A**19 + A**18 + 2*A**17 - A**16 + A**15 + A**13 - A**12 + 2*A**10 + A**7 - A**6 - 2*A**5 - A**2 + 1
6_15,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 e0 f0) d=X(g3 e2 e1 b2) e=X(c2 d2 d1 f1) f=X(c3 e3 g1 g0) g=X(f3 f2 h0 d0) h=V(g2) ['name'='6_15'],A**20 - 2*A**16 - A**14 + 3*A**12 + 2*A**10 - A**8 - 2*A**6 + A**2,t**2 - t - 1/t + t**(-2),A**8*L2 - 2*A**4*L2 - A**2*L1 + 2*L2 + 1 + 2*L1/A**2 - L2/A**4 - 2*L1/A**6 + L1/A**10,-w**2 - w + 3 + 2/w - 2/w**2 - 2/w**3 + w**(-4) + w**(-5),A**23 + A**22 - A**21 - 2*A**20 + 2*A**19 - 4*A**17 + 3*A**16 + A**15 - 2*A**14 + 2*A**13 + A**12 + 2*A**11 - A**10 + 2*A**9 + 2*A**8 - 3*A**7 + A**6 + 3*A**5 - 2*A**4 - A**3 + 2*A**2 - 1
7_83,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 e3 b2) d=X(f3 f2 g3 b3) e=X(c1 g2 h3 c2) f=X(h1 g0 d1 d0) g=X(f1 h0 e1 d2) h=X(g1 f0 i0 e2) i=V(h2) ['name'='7_83'],-A**26 - A**24 + 2*A**22 + 3*A**20 - A**18 - 4*A**16 + A**14 + 4*A**12 - 3*A**8 + 2*A**4 - 1,t - 2 + 1/t,-A**8 - A**6*L1 + 2*A**4 + 3*A**2*L1 - 1 - 4*L1/A**2 + A**(-4) + 4*L1/A**6 - 3*L1/A**10 + 2*L1/A**14 - L1/A**18,w**6 + w**5 - 2*w**4 - 3*w**3 + 2*w**2 + 5*w - 5/w + 3/w**3 - 1/w**5,A**26 - A**25 - 2*A**24 + 2*A**23 + A**22 - 4*A**21 + A**20 + 5*A**19 - 5*A**18 + 7*A**16 - 2*A**15 + 4*A**13 - A**11 - 2*A**10 + 5*A**9 - A**8 - 5*A**7 + 6*A**6 - 5*A**4 + 3*A**3 - 2*A + 1
7_84,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 f3 b2) d=X(f2 g0 g3 b3) e=X(c1 g2 h3 f0) f=X(e3 h1 d0 c2) g=X(d1 h0 e1 d2) h=X(g1 f1 i0 e2) i=V(h2) ['name'='7_84'],A**22 + A**20 - 3*A**18 - 3*A**16 + 3*A**14 + 5*A**12 - A**10 - 4*A**8 + 3*A**4 - 1,0,A**10*L1 + A**8 - 3*A**6*L1 - 3*A**4 + 3*A**2*L1 + 5 - L1/A**2 - 4/A**4 + 3/A**8 - 1/A**12,-2*w**3 - 3*w**2 + 4*w + 8 - 2/w - 5/w**2 + w**(-4),-A**26 - A**25 + 2*A**24 + 2*A**23 - 3*A**22 - A**21 + 7*A**20 - A**19 - 8*A**18 + 7*A**17 + 2*A**16 - 10*A**15 + 4*A**14 + 4*A**13 - 4*A**12 + A**11 + 4*A**10 + 4*A**9 - 6*A**8 + 2*A**7 + 9*A**6 - 8*A**5 - 2*A**4 + 8*A**3 - 4*A**2 - 3*A + 2
7_85,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e0 b2) d=X(b3 e3 f3 c1) e=X(c2 g0 g3 d1) f=X(h3 h2 g1 d2) g=X(e1 f2 h1 e2) h=X(i0 g2 f1 f0) i=V(h0) ['name'='7_85'],-A**24 + A**22 + 4*A**20 - 5*A**16 - 3*A**14 + 4*A**12 + 3*A**10 - 2*A**8 - 2*A**6 + A**4 + A**2,0,-A**12 + A**10*L1 + 4*A**8 - 5*A**4 - 3*A**2*L1 + 4 + 3*L1/A**2 - 2/A**4 - 2*L1/A**6 + A**(-8) + L1/A**10,w**4 + w**3 - 5*w**2 - 3*w + 8 + 3/w - 3/w**2 - 1/w**3,-A**26 + A**25 + 2*A**24 - 5*A**23 + A**22 + 9*A**21 - 9*A**20 - 3*A**19 + 10*A**18 - 8*A**17 - 4*A**16 + 6*A**15 - A**14 - 2*A**13 - 2*A**12 + 6*A**11 - A**10 - 9*A**9 + 9*A**8 + A**7 - 11*A**6 + 6*A**5 + 3*A**4 - 6*A**3 + A**2 + 2*A - 1
7_86,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 e0 f3) d=X(f2 g3 e1 b2) e=X(c2 d2 g1 h0) f=X(h3 h2 d0 c3) g=X(h1 e2 i0 d1) h=X(e3 g0 f1 f0) i=V(g2) ['name'='7_86'],-2*A**18 - 2*A**16 + 3*A**14 + 5*A**12 - 4*A**8 - 2*A**6 + 2*A**4 + A**2,-t + 2 - 1/t,-2*A**18*L1 - 2*A**16 + 3*A**14*L1 + 5*A**12 - 4*A**8 - 2*A**6*L1 + 2*A**4 + A**2*L1,-w**4 - w**3 + 3*w**2 - 4 + 2/w + 4/w**2 - 1/w**3 - 1/w**4,A**26 - 2*A**24 - A**23 + 4*A**22 + A**21 - 7*A**20 + 4*A**19 + 5*A**18 - 10*A**17 + A**16 + 4*A**15 - 5*A**14 + 3*A**12 + 5*A**11 - 3*A**10 + A**9 + 8*A**8 - 5*A**7 - 4*A**6 + 8*A**5 - A**4 - 5*A**3 + 3*A**2 + 2*A - 1
6_16,a=V(b3) b=X(c3 c2 d3 a0) c=X(e0 f0 b1 b0) d=X(g3 g2 e1 b2) e=X(c0 d2 f1 h0) f=X(c1 e2 g1 g0) g=X(f3 f2 d1 d0) h=V(e3) ['name'='6_16'],-A**24 - A**22 + 2*A**20 + 2*A**18 - 2*A**16 - 3*A**14 + A**12 + 3*A**10 - A**6 + A**2,-t + 2 - 1/t,-A**30*L1 - A**28 + 2*A**26*L1 + 2*A**24 - 2*A**22*L1 - 3*A**20 + A**18*L1 + 3*A**16 - A**12 + A**8,w**4 - w**3 - 2*w**2 + 2*w + 3 - 2/w - 3/w**2 + w**(-3) + 2/w**4,-A**23 + A**22 - 3*A**20 + 3*A**19 + 2*A**18 - 5*A**17 + 3*A**16 + 2*A**15 - 2*A**14 + 2*A**13 + A**12 + 2*A**11 - 2*A**10 + 3*A**8 - 4*A**7 - 2*A**6 + 3*A**5 - 4*A**4 - 3*A**3 + A**2 - A - 2
7_87,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e0 b2) d=X(e3 f0 c1 b3) e=X(c2 g0 f1 d0) f=X(d1 e2 g3 h3) g=X(e1 h2 h1 f2) h=X(i0 g2 g1 f3) i=V(h0) ['name'='7_87'],A**24 + 2*A**22 - 4*A**18 - 4*A**16 + 2*A**14 + 6*A**12 + A**10 - 3*A**8 - 2*A**6 + A**4 + A**2,-t**2 + 2 - 1/t**2,A**12 + 2*A**10*L1 + A**8*L2 - A**8 - 4*A**6*L1 - 4*A**4*L2 + 2*A**2*L1 + 5*L2 + 1 + L1/A**2 - 3*L2/A**4 - 2*L1/A**6 + L2/A**8 + L1/A**10,w**5 - 3*w**3 - 2*w**2 + 3*w + 6 - 4/w**2 - 2/w**3 + w**(-4) + w**(-5),-A**28 + 3*A**26 - 6*A**24 + 3*A**23 + 7*A**22 - 8*A**21 - 4*A**20 + 12*A**19 - 2*A**18 - 11*A**17 + 8*A**16 + A**15 - 10*A**14 + A**13 + 4*A**12 - A**11 - 8*A**10 + 9*A**9 + 6*A**8 - 14*A**7 + 4*A**6 + 8*A**5 - 7*A**4 - 2*A**3 + 4*A**2 - 2
7_88,a=V(b3) b=X(c3 c2 d0 a0) c=X(d3 e0 b1 b0) d=X(b2 f3 e1 c0) e=X(c1 d2 g3 g2) f=X(h3 h2 g0 d1) g=X(f2 h0 e3 e2) h=X(g1 i0 f1 f0) i=V(h1) ['name'='7_88'],-A**24 + 3*A**20 + A**18 - 4*A**16 - 3*A**14 + 4*A**12 + 5*A**10 - A**8 - 3*A**6 - A**4 + A**2,2*t - 4 + 2/t,-A**6*L1 + 3*A**2*L1 + 1 - 4*L1/A**2 - 3/A**4 + 4*L1/A**6 + 5/A**8 - L1/A**10 - 3/A**12 - L1/A**14 + A**(-16),-2*w**3 - w**2 + 6*w + 6 - 4/w - 5/w**2 + w**(-4),-2*A**25 + 3*A**24 + 3*A**23 - 9*A**22 + 5*A**21 + 8*A**20 - 12*A**19 + 3*A**18 + 9*A**17 - 6*A**16 - A**15 + 3*A**14 + 4*A**13 - 5*A**12 - A**11 + 11*A**10 - 5*A**9 - 6*A**8 + 11*A**7 - 2*A**6 - 9*A**5 + 5*A**4 + 2*A**3 - 5*A**2 + 2
