name,native notation,kbsm,affine,arrow,mock,yamada,flip,mirror,unique,mutant,kiral,rotatable,page,em,pd
6_1,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 d1 b2) d=X(b3 c2 f3 f2) e=X(c1 g0 h3 h2) f=X(h1 h0 d3 d2) g=V(e1) h=X(f1 f0 e3 e2) ['name'='6_1'],A**26 - A**22 + 2*A**18 - 2*A**14 + A**10 - A**6 + A**2,0,A**8 - A**4 + 2 - 2/A**4 + A**(-8) - 1/A**12 + A**(-16),-2*w**2 + 5 - 2/w**2,-A**22 - A**20 - A**19 + A**18 + A**15 - A**14 - A**12 - A**11 - A**10 - 2*A**9 + A**5 + A**4 - 1,6_1,*,True,False,True,True,38,"(b0, a0c0c3d0, b1e0d1b2, b3c2f3f2, c1g0h3h2, h1h0d3d2, e1, f1f0e3e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[4,8,9,10],X[11,12,7,6],V[8],X[12,11,10,9]"
6_2,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 d1 b2) d=X(b3 c2 e3 f0) e=X(c1 g0 g3 d2) f=X(d3 g2 g1 h0) g=X(e1 f2 f1 e2) h=V(f3) ['name'='6_2'],-A**25 + A**21 - 2*A**17 + 2*A**13 - 2*A**9 + 2*A**5 - A,0,A**4 - 1 + 2/A**4 - 2/A**8 + 2/A**12 - 2/A**16 + A**(-20),-w**4 + 3*w**2 - 3 + 3/w**2 - 1/w**4,-A**22 - A**19 - 2*A**16 - A**13 - A**10 - A**8 + A**7 - A**5 + 2*A**4 - A**3 + A - 1,6_2,*,True,False,True,True,39,"(b0, a0c0c3d0, b1e0d1b2, b3c2e3f0, c1g0g3d2, d3g2g1h0, e1f2f1e2, f3)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[4,8,9,6],X[7,10,11,12],X[8,11,10,9],V[12]"
6_3,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 d1 b2) d=X(b3 c2 e3 f0) e=X(c1 g0 f1 d2) f=X(d3 e2 g3 g2) g=X(e1 h0 f3 f2) h=V(g1) ['name'='6_3'],-A**24 + 2*A**20 - 2*A**16 + 3*A**12 - 2*A**8 + 2*A**4 - 1,0,-A**12 + 2*A**8 - 2*A**4 + 3 - 2/A**4 + 2/A**8 - 1/A**12,w**4 - 3*w**2 + 5 - 3/w**2 + w**(-4),A**22 - A**21 - A**20 + A**19 - 2*A**18 + 2*A**16 - A**15 + A**14 + 2*A**13 + 2*A**11 + 2*A**9 + A**8 - A**7 + 2*A**6 - 2*A**4 + A**3 - A**2 - A + 1,6_3,6_3,False,False,False,unlikely,40,"(b0, a0c0c3d0, b1e0d1b2, b3c2e3f0, c1g0f1d2, d3e2g3g2, e1h0f3f2, g1)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[4,8,9,6],X[7,9,10,11],X[8,12,11,10],V[12]"
6_4,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 e3 b2) d=X(f0 g0 g3 b3) e=X(c1 h0 h3 c2) f=V(d0) g=X(d1 h2 h1 d2) h=X(e1 g2 g1 e2) ['name'='6_4'],A**24 + A**22 - A**18 + A**14 - A**10 + A**6 - A**2,3*t - 6 + 3/t,A**(-12) + L1/A**14 - L1/A**18 + L1/A**22 - L1/A**26 + L1/A**30 - L1/A**34,w**6 + w**5 - w**3 + w - 1/w + w**(-3) - 1/w**5,A**23 + A**22 + A**21 + A**20 + 2*A**19 + A**18 + A**17 + A**16 + A**15 - A**11 - A**10 - A**8 - A**6 - A**4 - A**3 + A**2 + 1,6_4,*,False,False,True,unlikely,41,"(b0, a0c0c3d3, b1e0e3b2, f0g0g3b3, c1h0h3c2, d0, d1h2h1d2, e1g2g1e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,8,3],X[4,9,10,5],V[6],X[7,11,12,8],X[9,12,11,10]"
6_5,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e3 d1 b2) d=X(b3 c2 f3 f2) e=X(g3 g2 h0 c1) f=X(g1 g0 d3 d2) g=X(f1 f0 e1 e0) h=V(e2) ['name'='6_5'],-A**23 + A**19 - 2*A**15 + 2*A**11 - 2*A**7 - A**5 + A**3 + A,t - 2 + 1/t,A**(-4) - 1/A**8 + 2/A**12 - 2/A**16 + 2/A**20 + L1/A**22 - 1/A**24 - L1/A**26,3*w**2 + w - 4 - 1/w + 2/w**2,A**23 + 2*A**21 + 2*A**20 - A**19 + 2*A**18 + 2*A**17 - A**16 + A**15 + A**13 - A**12 + A**10 - 2*A**9 - A**8 + A**7 - A**6 - A**5 + A**4 - A**2 + 1,6_5,*,False,False,True,unlikely,42,"(b0, a0c0c3d0, b1e3d1b2, b3c2f3f2, g3g2h0c1, g1g0d3d2, f1f0e1e0, e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[8,9,10,4],X[11,12,7,6],X[12,11,9,8],V[10]"
6_6,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 e3 b2) d=X(b3 e2 f3 f2) e=X(c1 g3 d1 c2) f=X(g1 g0 d3 d2) g=X(f1 f0 h0 e1) h=V(g2) ['name'='6_6'],-A**24 + A**20 - 2*A**16 + 3*A**12 + A**10 - 2*A**8 - A**6 + A**4 + A**2,-3*t + 6 - 3/t,-A**30*L1 + A**26*L1 - 2*A**22*L1 + 3*A**18*L1 + A**16 - 2*A**14*L1 - A**12 + A**10*L1 + A**8,-2*w**3 + 3*w - 3/w - 1/w**2 + 2/w**3 + 2/w**4,-A**23 + A**22 - 2*A**20 + A**19 + 2*A**18 - 2*A**17 + 2*A**16 + 3*A**15 - A**14 + A**13 - A**12 + A**11 - 2*A**10 - A**9 + 2*A**8 - 3*A**7 - 2*A**6 + A**5 - 2*A**4 - 2*A**3 - 1,6_6,*,False,False,True,unlikely,43,"(b0, a0c0c3d0, b1e0e3b2, b3e2f3f2, c1g3d1c2, g1g0d3d2, f1f0h0e1, g2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,8],X[4,9,6,5],X[10,11,8,7],X[11,10,12,9],V[12]"
6_7,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 e3 b2) d=X(b3 f0 g0 f3) e=X(c1 h0 h3 c2) f=X(d1 h2 h1 d3) g=V(d2) h=X(e1 f2 f1 e2) ['name'='6_7'],A**23 - A**19 - A**17 + A**15 + A**13 - A**11 - A**9 + A**7 + A**5 - A**3 - A,-3*t + 6 - 3/t,-A**26*L1 + A**22*L1 + A**20 - A**18*L1 - A**16 + A**14*L1 + A**12 - A**10*L1 - A**8 + A**6*L1 + A**4,-3*w - 2 + 3/w + 3/w**2,A**24 - A**22 - A**19 + A**17 + A**14 + A**11 - 2*A**8 - A**6 - 2*A**5 - A**3 - A**2 - 1,6_7,*,False,False,True,unlikely,44,"(b0, a0c0c3d0, b1e0e3b2, b3f0g0f3, c1h0h3c2, d1h2h1d3, d2, e1f2f1e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,8],X[4,9,10,5],X[6,11,12,8],V[7],X[9,12,11,10]"
6_8,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(f3 f2 c1 b3) e=X(g3 g2 h0 c2) f=X(g1 g0 d1 d0) g=X(f1 f0 e1 e0) h=V(e2) ['name'='6_8'],-A**24 - A**22 + A**20 + 2*A**18 - A**16 - 2*A**14 + A**12 + 2*A**10 - A**6 + A**2,-2*t + 4 - 2/t,-A**30*L1 - A**28 + A**26*L1 + 2*A**24 - A**22*L1 - 2*A**20 + A**18*L1 + 2*A**16 - A**12 + A**8,w**4 - w**3 - 2*w**2 + w + 2 - 1/w - 2/w**2 + w**(-3) + 2/w**4,-A**23 - A**20 + A**19 + 2*A**18 - 2*A**17 + 2*A**16 + 2*A**15 - A**14 + 2*A**13 + A**11 - 2*A**10 - A**9 + A**8 - 2*A**7 - A**6 + A**5 - 2*A**4 - 2*A**3 - A - 2,6_8,*,False,False,True,unlikely,45,"(b0, a0c0c3d3, b1d2e3b2, f3f2c1b3, g3g2h0c2, g1g0d1d0, f1f0e1e0, e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[8,9,10,5],X[11,12,7,6],X[12,11,9,8],V[10]"
6_9,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 d1 b2) d=X(b3 c2 f3 f2) e=X(c1 g0 g3 f0) f=X(e3 g1 d3 d2) g=X(e1 f1 h0 e2) h=V(g2) ['name'='6_9'],A**22 + A**20 - A**18 - 2*A**16 + 2*A**14 + 3*A**12 - A**10 - 3*A**8 + 2*A**4 - 1,2*t - 4 + 2/t,A**(-8) + L1/A**10 - 1/A**12 - 2*L1/A**14 + 2/A**16 + 3*L1/A**18 - 1/A**20 - 3*L1/A**22 + 2*L1/A**26 - L1/A**30,2*w**4 + 2*w**3 - 2*w**2 - 4*w + 1 + 4/w - 2/w**3,A**23 + 3*A**20 + A**19 - 2*A**18 + 5*A**17 + 2*A**16 - 3*A**15 + 3*A**14 + A**13 - 3*A**12 - A**10 + A**9 - 3*A**8 + 4*A**6 - 4*A**5 + 3*A**3 - 3*A**2 - A + 2,6_9,*,False,False,True,unlikely,46,"(b0, a0c0c3d0, b1e0d1b2, b3c2f3f2, c1g0g3f0, e3g1d3d2, e1f1h0e2, g2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[4,8,9,10],X[10,11,7,6],X[8,11,12,9],V[12]"
6_10,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(f3 e0 c1 b3) e=X(d1 g0 g3 c2) f=X(h0 g2 g1 d0) g=X(e1 f2 f1 e2) h=V(f0) ['name'='6_10'],A**23 + A**21 - A**19 - 2*A**17 + A**15 + 2*A**13 - A**11 - 3*A**9 + 2*A**5 - A,-2*t + 4 - 2/t,-A**26*L1 - A**24 + A**22*L1 + 2*A**20 - A**18*L1 - 2*A**16 + A**14*L1 + 3*A**12 - 2*A**8 + A**4,2*w**2 - 2*w - 5 + 2/w + 4/w**2,-A**23 + A**21 - A**20 - A**19 + 3*A**18 - A**16 + 3*A**15 + A**14 - 2*A**13 + A**12 + A**11 - 2*A**10 - A**8 + A**7 - 4*A**6 - A**5 + 2*A**4 - 4*A**3 + A - 2,6_10,*,False,False,True,unlikely,47,"(b0, a0c0c3d3, b1d2e3b2, f3e0c1b3, d1g0g3c2, h0g2g1d0, e1f2f1e2, f0)","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[7,8,9,5],X[10,11,12,6],X[8,12,11,9],V[10]"
