name,native notation,kbsm,affine,arrow,mock,yamada,flip,mirror,unique,mutant,kiral,rotatable,page,em,pd
4_1,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 d1 b2) d=X(b3 c2 e3 e2) e=X(c1 f0 d3 d2) f=V(e1) ['name'='4_1'],-A**17 + A**13 - A**9 + A**5 - A,0,A**8 - A**4 + 1 - 1/A**4 + A**(-8),-w**2 + 3 - 1/w**2,-A**16 + A**12 - A**10 - A**9 - 2*A**8 - A**7 - A**6 + A**4 - 1,4_1,4_1,True,False,False,True,5,"(b0, a0c0c3d0, b1e0d1b2, b3c2e3e2, c1f0d3d2, e1)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[4,8,7,6],V[8]"
4_2,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 e3 b2) d=X(f0 e2 e1 b3) e=X(c1 d2 d1 c2) f=V(d0) ['name'='4_2'],A**16 + A**14 - A**10 + A**6 - A**2,2*t - 4 + 2/t,A**(-8) + L1/A**10 - L1/A**14 + L1/A**18 - L1/A**22,w**4 + w**3 - w + 1/w - 1/w**3,A**17 + A**16 + A**15 + A**14 + 2*A**13 + A**12 + A**11 + A**10 - A**8 - A**6 - A**4 - A + 1,4_2,*,False,False,True,unlikely,6,"(b0, a0c0c3d3, b1e0e3b2, f0e2e1b3, c1d2d1c2, d0)","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,8,3],X[4,8,7,5],V[6]"
4_3,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e3 d1 b2) d=X(b3 c2 e1 e0) e=X(d3 d2 f0 c1) f=V(e2) ['name'='4_3'],A**14 - A**10 + 2*A**6 + A**4 - A**2 - 1,t - 2 + 1/t,A**(-4) - 1/A**8 + 2/A**12 + L1/A**14 - 1/A**16 - L1/A**18,2*w**2 + w - 2 - 1/w + w**(-2),2*A**17 + A**16 + 2*A**14 + A**13 + 2*A**11 + A**9 - A**8 - 2*A**5 - A**2 + 1,4_3,*,False,False,True,unlikely,7,"(b0, a0c0c3d0, b1e3d1b2, b3c2e1e0, d3d2f0c1, e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,6,7],X[7,6,8,4],V[8]"
4_4,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 e3 b2) d=X(b3 e2 f0 e1) e=X(c1 d3 d1 c2) f=V(d2) ['name'='4_4'],A**15 - A**11 - A**9 + A**7 + A**5 - A**3 - A,-2*t + 4 - 2/t,-A**18*L1 + A**14*L1 + A**12 - A**10*L1 - A**8 + A**6*L1 + A**4,-2*w - 1 + 2/w + 2/w**2,A**18 - A**16 - A**13 + A**12 + A**11 + A**9 - A**8 - 2*A**6 - A**5 - 2*A**3 - A**2 - 1,4_4,*,False,False,True,unlikely,8,"(b0, a0c0c3d0, b1e0e3b2, b3e2f0e1, c1d3d1c2, d2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,8],X[4,8,6,5],V[7]"
4_5,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e0 b2) d=X(b3 e3 e1 c1) e=X(c2 d2 f0 d1) f=V(e2) ['name'='4_5'],-A**10 + A**8 + 2*A**6 + A**4 - A**2 - 1,t**2 - 2 + t**(-2),-L1/A**2 + A**(-4) + 2*L1/A**6 + L2/A**8 - L1/A**10 - L2/A**12,-w**3 + 2*w + 1 - 1/w,-A**18 - 2*A**15 - A**12 + A**11 - A**10 - 2*A**8 - A**7 - A**5 + A**3 + 1,4_5,*,False,False,True,unlikely,9,"(b0, a0c0c3d0, b1d3e0b2, b3e3e1c1, c2d2f0d1, e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,4],X[5,7,8,6],V[8]"
4_6,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e3 b2) d=X(b3 e2 e0 c1) e=X(d2 f0 d1 c2) f=V(e1) ['name'='4_6'],-A**12 + A**8 + 2*A**6 - A**2,t**2 - t - 1/t + t**(-2),-A**6*L1 + A**2*L1 + L2 + 1 - L2/A**4,-w**3 - w**2 + w + 2,-A**16 - A**15 + A**14 + A**11 - A**10 - 2*A**8 - A**7 - 2*A**6 - 2*A**5 + A + 1,4_6,*,False,False,True,unlikely,10,"(b0, a0c0c3d0, b1d3e3b2, b3e2e0c1, d2f0d1c2, e1)","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,4],X[7,8,6,5],V[8]"
4_7,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e0 b2) d=X(e3 e1 c1 b3) e=X(c2 d1 f0 d0) f=V(e2) ['name'='4_7'],A**10 + A**8 + A**6 - A**4 - A**2,t**2 + t - 4 + 1/t + t**(-2),A**(-8) + L1/A**10 + L2/A**12 - L1/A**14 - L2/A**16,w**4 + w**3 - w - 1 + w**(-2),-A**18 - A**17 - A**16 - A**15 - A**14 - A**8 - A**6 - A**4 + A**2 + 1,4_7,*,False,False,True,unlikely,11,"(b0, a0c0c3d3, b1d2e0b2, e3e1c1b3, c2d1f0d0, e2)","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[5,7,8,6],V[8]"
4_8,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(e2 e0 c1 b3) e=X(d1 f0 d0 c2) f=V(e1) ['name'='4_8'],-2*A**11 - A**9 + A**7 + 2*A**5 - A,t**2 - 2 + t**(-2),L2/A**4 + A**(-4) + L1/A**6 - L2/A**8 - 2*L1/A**10 + L1/A**14,w**2 + w - 1 - 2/w + w**(-2) + w**(-3),A**19 + A**18 + A**15 - A**14 - A**13 + A**12 + 2*A**9 + A**8 + 2*A**7 + A**5 - 2*A**3 + A**2 - 1,4_8,*,False,False,True,unlikely,12,"(b0, a0c0c3d3, b1d2e3b2, e2e0c1b3, d1f0d0c2, e1)","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[7,8,6,5],V[8]"
